id,GEOGRAFICO
142,Urban Infrastructure
142,Urban Infrastructure
142,Urban Infrastructure
142,Urban Infrastructure
142,Sports Hub 
142,Sports Hub 
142,Sports Hub 
142,Sports Hub 
142,Sports Hub 
142,Sports Hub 
142,Sports Hub 
142,Sports Hub 
142,Sports Hub 
142,Sports Hub 
142,Sports Hub 
142,Sports Hub 
142,Sports Hub 
142,Sports Hub 
142,Sports Hub 
142,Sports Hub 
142,Sports Hub 
143,School
143,Temple
143,Temple
143,School
143,School
143,Temple
143,School
143,School
143,School
143,School
143,School
143,Temple
143,Temple
143,Temple
143,Square
143,Temple
143,Sports Hub 
143,Sports Hub 
143,Sports Hub 
143,Sports Hub 
143,Sports Hub 
143,Sports Hub 
143,Sports Hub 
143,Sports Hub 
143,Temple
143,School
143,Sports Hub 
143,Sports Hub 
143,Sports Hub 
143,Sports Hub 
143,Sports Hub 
143,Sports Hub 
143,Sports Hub 
143,Sports Hub 
143,Sports Hub 
143,Sports Hub 
143,School
143,Sports Hub 
143,Sports Hub 
143,Sports Hub 
143,Sports Hub 
143,Sports Hub 
143,Sports Hub 
143,School
143,Sports Hub 
143,Sports Hub 
143,Sports Hub 
143,Sports Hub 
144,Mall
144,Medical Assistance Center
144,Square
144,Sports Hub 
144,School
144,School
144,Miscellaneous installation
144,Sports Hub 
144,Sports Hub 
144,Sports Hub 
144,Sports Hub 
144,Sports Hub 
144,School
145,Temple
145,School
145,School
145,School
145,School
145,School
145,Medical Assistance Center
145,School
145,School
145,Temple
145,School
145,Mall
145,School
145,Sports Hub 
145,Square
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Temple
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Restriction of Passage to Pedestrians and/or Automobiles
145,Restriction of Passage to Pedestrians and/or Automobiles
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
145,Sports Hub 
146,Temple
146,School
146,School
146,Temple
146,Temple
146,Temple
146,Square
146,School
146,School
146,School
146,Square
146,School
146,School
146,School
146,School
146,School
146,Square
146,Sports Hub 
146,Sports Hub 
146,School
146,Sports Hub 
146,Sports Hub 
146,Civil aerodrome
146,Sports Hub 
146,Sports Hub 
146,Sports Hub 
146,Temple
146,Temple
147,Temple
147,Square
147,Temple
147,School
147,School
147,School
147,Temple
147,School
147,Temple
147,Temple
147,School
147,Temple
147,Temple
147,Sports Hub 
147,School
154,Temple
154,Square
154,School
154,Well
154,Temple
154,School
154,Square
154,Sports Hub 
154,Square
155,Square
155,Square
155,Square
155,Square
155,Square
155,Square
155,Sports Hub 
155,Sports Hub 
155,Sports Hub 
155,Sports Hub 
155,Sports Hub 
155,Sports Hub 
155,Sports Hub 
155,Sports Hub 
155,Sports Hub 
155,Sports Hub 
155,Sports Hub 
155,Sports Hub 
155,Sports Hub 
156,Sports Hub 
156,Sports Hub 
156,Sports Hub 
156,Sports Hub 
156,Sports Hub 
156,Sports Hub 
156,Sports Hub 
156,Sports Hub 
157,Temple
157,Water tank
157,Temple
157,School
157,Well
157,Well
157,Square
157,Square
157,Square
157,Square
157,Sports Hub 
157,Sports Hub 
157,Sports Hub 
157,Sports Hub 
158,Temple
158,School
158,School
158,School
158,Temple
158,School
158,School
158,School
158,Sports Hub 
158,Sports Hub 
158,Square
158,Sports Hub 
158,Sports Hub 
159,Temple
159,School
159,School
159,Temple
159,School
159,Temple
159,Temple
